Name,Employee ID,Reporting Manager,Position/Job Title,Department,Base Location,Work Location,Hire Date,Contact Information (Email/Phone),Hire Point of Contact (POC),LinkedIn Profile
Benjamin Anderson,49826,AdeleV@w6l7f.onmicrosoft.com,Junior Designer,Studio 31,Seattle,Remote,2002-02-23,8135304189,AdeleV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Mia Patel,73093,JoniS@w6l7f.onmicrosoft.com,Junior Designer,Studio 91,Vancouver,Remote,01/28/2023,8335651323,JoniS@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Aiden O'Malley,37371,LynneR@w6l7f.onmicrosoft.com,Researcher,Studio 91,Vancouver,Remote,2002-01-23,6512942410,LynneR@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Isabella Costa,80451,SofiaV@w6l7f.onmicrosoft.com,Principal Designer,Studio X,Toronto,Remote,12/22/2022,1296173838,SofiaV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Ethan Williams,28632,AdeleV@w6l7f.onmicrosoft.com,Consultant,Studio 31,New York,Remote,11/14/2022,4548749073,AdeleV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Maya Chen,25971,SofiaV@w6l7f.onmicrosoft.com,Junior Designer,Studio 44,Seattle,Remote,01/17/2023,1727996172,SofiaV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Olivia Johnson,41217,AdeleV@w6l7f.onmicrosoft.com,Junior Designer,Studio 91,New York,Same as base,2002-08-23,1446233799,AdeleV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Elena Rodriguez,97804,SofiaV@w6l7f.onmicrosoft.com,Principal Designer,Studio 44,New York,Same as base,11/17/2022,2942530977,SofiaV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Luisa Garcia,32096,LynneR@w6l7f.onmicrosoft.com,Senior Designer,Studio 31,New York,Remote,02/22/2023,7089666271,LynneR@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Andrej Novak,29004,LynneR@w6l7f.onmicrosoft.com,Senior Designer,Studio 31,Vancouver,Same as base,2012-10-22,1851699394,LynneR@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Lucy Taylor,33131,LynneR@w6l7f.onmicrosoft.com,Consultant,Studio X,Vancouver,Remote,02/15/2023,7738877679,LynneR@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Omar Khan,89249,JoniS@w6l7f.onmicrosoft.com,Senior Designer,Studio 91,Toronto,Same as base,01/18/2023,6173009253,JoniS@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Sara Kim,37631,SofiaV@w6l7f.onmicrosoft.com,Researcher,Studio 44,New York,Remote,01/13/2023,8108958363,SofiaV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Samuel Davis,23445,SofiaV@w6l7f.onmicrosoft.com,Senior Designer,Studio X,Seattle,Same as base,2001-01-23,2888667978,SofiaV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Mehmet Yılmaz,80491,SofiaV@w6l7f.onmicrosoft.com,Senior Designer,Studio 44,New York,Remote,12/13/2022,6554313709,SofiaV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Pedro Silva,82082,JoniS@w6l7f.onmicrosoft.com,Principal Designer,Studio X,Seattle,Remote,2001-05-23,5712841444,JoniS@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Gabriela Santos,91613,GradyA@w6l7f.onmicrosoft.com,Researcher,Studio X,Seattle,Remote,11/30/2022,8277246305,GradyA@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Elena Popescu,24349,GradyA@w6l7f.onmicrosoft.com,Consultant,Studio 31,Seattle,Same as base,11/15/2022,9885600546,GradyA@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Sofia Fernandez,41947,SofiaV@w6l7f.onmicrosoft.com,Consultant,Studio 91,New York,Remote,01/21/2023,9438596729,SofiaV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
James Brown,60928,AdeleV@w6l7f.onmicrosoft.com,Junior Designer,Studio X,New York,Same as base,02/14/2023,2706913996,AdeleV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Matteo Rossi,58363,GradyA@w6l7f.onmicrosoft.com,Consultant,Studio 31,New York,Remote,2001-08-23,3121307978,GradyA@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Daniel Smith,43616,GradyA@w6l7f.onmicrosoft.com,Consultant,Studio 91,Seattle,Same as base,01/28/2023,8572533934,GradyA@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Isla MacKenzie,29771,GradyA@w6l7f.onmicrosoft.com,Researcher,Studio 31,New York,Same as base,02/19/2023,7588812375,GradyA@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Maria Lopez,63454,JoniS@w6l7f.onmicrosoft.com,Consultant,Studio 91,Toronto,Remote,02/25/2023,8842014942,JoniS@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Sofia Pires,37698,GradyA@w6l7f.onmicrosoft.com,Consultant,Studio X,Toronto,Remote,01/23/2023,3612715044,GradyA@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Andreas Wagner,98476,SofiaV@w6l7f.onmicrosoft.com,Principal Designer,Studio 44,Vancouver,Remote,2001-10-23,9297130830,SofiaV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Emma O'Connor,58372,GradyA@w6l7f.onmicrosoft.com,Junior Designer,Studio 91,Seattle,Remote,2002-03-23,6584113830,GradyA@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Emily Clark,72913,AdeleV@w6l7f.onmicrosoft.com,Consultant,Studio X,Seattle,Remote,12/30/2022,4179091121,AdeleV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
Valentina Silva,36811,GradyA@w6l7f.onmicrosoft.com,Consultant,Studio 44,Toronto,Remote,12/18/2022,7227862136,GradyA@w6l7f.onmicrosoft.com,https://www.linkedin.com/
William Cooper,86940,SofiaV@w6l7f.onmicrosoft.com,Researcher,Studio 31,New York,Remote,12/18/2022,3231829730,SofiaV@w6l7f.onmicrosoft.com,https://www.linkedin.com/
